x,y,z
-104.629018,7.527114,-54.512166
-101.519392,8.339977,-58.339812
-98.533193,9.408511,-62.204880
-95.476611,10.554201,-65.991873
-92.186773,11.643304,-69.594080
-88.499345,12.524437,-72.846973
-84.273482,12.985069,-75.457862
-79.541804,12.771249,-76.995366
-74.633496,11.949225,-77.412352
-69.704203,11.118714,-77.476148
-64.743609,10.892886,-77.949667
-59.937353,11.569082,-79.113875
-55.378978,12.916886,-80.654595
-50.961732,14.623802,-82.258072
-46.460204,16.267164,-83.678145
-41.684570,17.347766,-84.639590
-36.712966,17.536389,-85.075124
-31.759271,17.162319,-85.614234
-26.973182,16.636486,-86.929889
-22.457536,16.387936,-89.048664
-18.187804,16.860436,-91.590408
-14.181642,18.371266,-94.157232
-10.270618,20.387562,-96.530306
-6.074774,22.093530,-98.629446
-1.396722,22.608309,-100.254190
3.469229,22.061746,-101.225677
8.366286,21.116719,-101.513902
13.273062,20.299252,-101.063928
18.131571,19.687923,-100.059309
22.951611,19.030410,-98.905376
27.769649,18.124930,-97.927489
32.575981,16.972836,-97.176987
37.357696,15.612044,-96.651503
42.106047,14.077182,-96.349944
46.814996,12.399625,-96.273944
51.477925,10.601895,-96.417380
56.077239,8.662428,-96.702809
60.593447,6.541431,-97.020738
65.005096,4.201938,-97.259050
69.282857,1.616192,-97.307336
73.386527,-1.226855,-97.064541
77.272068,-4.316257,-96.481939
80.895707,-7.637365,-95.576384
84.200975,-11.182633,-94.358258
87.111214,-14.945811,-92.828317
89.521480,-18.913956,-90.982648
91.296329,-23.053325,-88.823139
92.282878,-27.290587,-86.372423
92.445354,-31.496230,-83.683462
91.881978,-35.543074,-80.809058
90.704600,-39.342017,-77.784634
89.013371,-42.828682,-74.629715
86.891248,-45.948076,-71.352699
84.407239,-48.643197,-67.955864
81.622773,-50.847178,-64.440346
78.607549,-52.546332,-60.834672
75.437788,-53.869250,-57.202351
72.168331,-54.975133,-53.584963
68.838553,-56.016424,-50.003340
65.495240,-56.983258,-46.413682
62.200241,-57.746791,-42.732386
59.027717,-58.182399,-38.894631
56.056991,-58.266016,-34.875602
53.362314,-58.105188,-30.668662
51.025651,-57.804054,-26.260575
49.150447,-57.462683,-21.641005
47.870116,-57.187908,-16.819854
47.343394,-57.097437,-11.855133
47.809046,-57.325962,-6.894629
49.545504,-58.011264,-2.278197
52.497304,-59.098288,1.591245
56.194772,-60.124262,4.787189
60.368256,-60.599304,7.482914
64.795599,-60.021441,9.706866
69.264291,-58.666152,11.485853
73.768991,-57.150135,13.037103
78.359619,-55.944281,14.604365
82.913671,-55.047874,16.457694
87.176981,-54.296592,18.943642
90.643062,-53.573325,22.445027
92.828564,-52.950702,26.874940
93.631452,-52.549680,31.778280
93.362579,-52.250543,36.755973
92.391793,-51.750573,41.631112
90.914829,-50.745500,46.295151
89.033551,-49.152588,50.639999
86.858242,-47.077740,54.631782
84.506568,-44.654121,58.317130
82.077874,-42.003107,61.791156
79.651555,-39.224793,65.166521
77.284620,-36.392443,68.539187
74.962716,-33.496708,71.889201
72.646873,-30.498012,75.151432
70.299638,-27.356532,78.252359
67.886135,-24.034917,81.103774
65.377315,-20.504127,83.597739
62.751423,-16.758796,85.609556
59.565356,-13.198017,87.017055
55.173944,-10.977432,87.704946
50.511130,-9.332475,88.405680
46.825522,-6.574076,90.220241
44.746066,-2.904623,92.866892
43.601417,1.088566,95.646561
42.067731,5.241475,97.942528
39.581700,9.306009,99.417714
36.348302,13.034631,100.167853
32.590117,16.316831,100.401615
28.454067,19.119423,100.325789
24.022709,21.420112,100.122891
19.347046,23.175158,99.958137
14.508283,24.422882,99.847955
9.591897,25.316706,99.694796
4.653517,26.039727,99.401219
-0.265127,26.768967,98.882953
-5.117806,27.659683,98.079715
-9.832917,28.923966,97.012863
-14.215594,30.942521,95.746271
-17.729177,34.190443,94.379775
-20.267934,38.251094,92.962145
-22.449678,42.479359,91.426244
-24.733762,46.598041,89.749316
-27.338462,50.490834,88.006380
-30.563075,53.892556,86.297842
-34.926513,55.745783,84.995235
-39.643579,54.334157,84.869787
-43.673728,51.404573,85.197016
-47.371175,48.044881,85.344911
-50.999425,44.638637,84.905147
-54.606212,41.329076,83.894683
-58.232948,38.127716,82.631178
-61.943232,34.989036,81.457522
-65.545654,31.652482,80.531365
-68.385943,27.610353,79.937807
-69.110047,22.729811,79.894910
-67.975149,17.871022,79.990399
-66.420744,13.160997,79.435350
-65.416307,8.658571,77.567986
-65.304668,4.555689,74.731027
-66.045445,0.724214,71.615003
-67.633437,-3.036318,68.740552
-70.030052,-6.655294,66.272487
-73.161985,-9.936005,64.184512
-76.961570,-12.665627,62.443080
-81.339724,-14.589829,61.020368
-86.126022,-15.420698,59.897420
-91.021915,-15.009901,59.029955
-95.800676,-13.810123,58.192510
-100.461104,-12.367739,57.103301
-105.022348,-11.105755,55.503540
-109.378858,-10.131801,53.261889
-113.327062,-9.271348,50.328855
-116.544304,-8.321103,46.638521
-118.729548,-7.188930,42.298766
-120.019178,-6.016162,37.617919
-120.715746,-4.924625,32.790425
-121.100512,-3.997056,27.892977
-121.413522,-3.307463,22.951352
-121.837419,-2.914906,17.985636
-122.304671,-2.729225,13.011144
-122.655860,-2.592284,8.025686
-122.911239,-2.236946,3.046366
-123.347493,-1.275103,-1.834426
-124.084972,0.442872,-6.468129
-124.642628,2.394839,-11.035454
-124.848535,4.498563,-15.560351
-125.557034,8.238803,-18.613073
-126.819142,13.029420,-18.765209
-128.058300,17.680804,-17.441127
-129.150520,22.116395,-15.414958
-130.098831,26.404559,-13.026293
-130.916685,30.657918,-10.528568
-131.612340,34.995309,-8.141946
-132.183651,39.523657,-6.106870
-132.617635,44.300715,-4.717056
-132.954079,49.244672,-4.077901
-133.322348,54.228015,-3.940581
-133.855288,59.198144,-4.031958
-134.683489,64.127279,-4.099613
-135.935185,68.960500,-3.899953
-137.719605,73.601966,-3.412142
-140.159546,77.942504,-3.039361
-143.366024,81.753292,-3.271069
-147.185434,84.857313,-4.113714
-151.377274,87.399759,-5.082653
-155.826618,89.557090,-5.806968
-160.515938,91.195820,-6.337232
-165.415765,91.951115,-6.895792
-170.284460,91.331959,-7.719622
-174.559195,89.107608,-8.949527
-177.550508,86.102467,-10.328590
