x,y,z
-54.061811,-39.128884,-5.031351
-53.546568,-42.892532,-8.272489
-52.676772,-46.011654,-12.070672
-51.450402,-48.042974,-16.446453
-49.918215,-48.182697,-21.167038
-48.471577,-46.943664,-25.784148
-47.419046,-45.489195,-30.446886
-46.985042,-44.593878,-35.339899
-47.116227,-44.149016,-40.315706
-47.646018,-43.802648,-45.274560
-48.410669,-43.211348,-50.178525
-49.252627,-42.064048,-54.967423
-50.022078,-40.190637,-59.532442
-50.556186,-37.479593,-63.686993
-50.674218,-33.865385,-67.122625
-50.534498,-29.789964,-70.014344
-50.468368,-25.754389,-72.962273
-50.618000,-22.069395,-76.335015
-50.575699,-18.612385,-79.944221
-49.710908,-15.197556,-83.473499
-47.408655,-11.858459,-86.359851
-44.189767,-8.689563,-88.491008
-40.722714,-5.514478,-90.191186
-37.220813,-2.253158,-91.638669
-33.641216,1.019798,-92.850608
-29.932691,4.225694,-93.831225
-26.045419,7.278743,-94.577158
-21.934860,10.077687,-95.078014
-17.571093,12.500787,-95.319007
-12.964526,14.437634,-95.305666
-8.194547,15.922661,-95.143677
-3.327308,17.049524,-94.966360
1.596284,17.914074,-94.901965
6.544060,18.607133,-95.076314
11.490361,19.180837,-95.523213
16.433176,19.632253,-96.125525
21.383042,19.954661,-96.752609
26.352000,20.140924,-97.272720
31.343039,20.183592,-97.552199
36.341874,20.105480,-97.542971
41.336895,19.984640,-97.358292
46.330770,19.902783,-97.126044
51.327836,19.938916,-96.969896
56.324174,20.125033,-96.971867
61.320520,20.106492,-96.885684
66.194360,19.273497,-96.261266
70.685978,17.471235,-95.028242
75.019275,15.322895,-93.763076
79.563356,13.395761,-93.013568
84.313348,11.856894,-92.763655
89.023630,10.283992,-92.229857
93.316723,8.285216,-90.674159
96.969936,5.860669,-88.286130
100.045436,3.068163,-85.510416
102.617908,-0.099609,-82.626849
104.645770,-3.591400,-79.684195
106.029894,-7.323949,-76.666374
106.638125,-11.192013,-73.566954
106.312643,-15.040915,-70.405720
104.923322,-18.646911,-67.250703
102.497281,-21.782011,-64.218686
99.405555,-24.507763,-61.393413
95.993116,-27.045902,-58.765394
92.480926,-29.612305,-56.300727
89.040837,-32.359755,-53.931301
85.727070,-35.039056,-51.321248
82.620873,-37.140304,-48.034465
80.061963,-38.244778,-43.906645
79.363629,-38.897574,-39.078962
81.452239,-39.524226,-34.617461
84.445110,-39.995756,-30.641151
86.968955,-40.199284,-26.348029
88.578602,-40.164988,-21.615478
90.634283,-40.219712,-17.062951
93.280174,-40.358652,-12.826284
96.358207,-40.500272,-8.890733
99.722582,-40.565741,-5.193675
103.250110,-40.481957,-1.651831
106.833214,-40.183399,1.822005
110.355146,-39.688046,5.335750
113.678213,-39.089264,9.021830
116.626271,-38.489221,13.011571
118.959041,-38.009778,17.400486
120.400710,-37.785149,22.172124
120.855371,-37.874866,27.143680
120.624103,-38.160155,32.127632
119.963036,-38.525218,37.069172
118.736864,-38.842988,41.899125
116.371042,-38.920190,46.279843
112.917840,-38.679877,49.874666
108.978111,-38.231339,52.916909
104.876512,-37.642013,55.714598
100.820326,-36.878501,58.534837
97.050135,-35.585617,61.541638
94.001841,-33.317079,64.762121
92.023789,-30.051328,67.970173
90.751296,-26.228105,70.923578
89.788159,-22.060350,73.507547
88.836779,-17.599628,75.545183
88.240235,-12.872682,77.032440
89.013908,-8.158053,78.433479
90.685536,-3.717042,80.004730
92.106981,0.678195,81.898722
91.798457,4.976536,84.304017
89.133338,8.376081,86.749543
85.296500,10.852926,88.756713
80.903858,12.738032,90.200998
76.195411,14.166834,91.065367
71.323494,15.152837,91.588185
66.385741,15.749568,92.088222
61.462137,16.028356,92.897304
56.661869,16.046814,94.282462
52.003306,15.659535,96.048643
47.439733,14.575576,97.760284
43.000749,12.664923,99.019564
38.588460,10.439861,99.767753
33.984904,8.523261,100.042634
29.121172,7.391918,100.018820
24.141534,7.090093,100.209738
19.245489,7.555577,101.064500
14.485116,8.574367,102.197043
9.719304,9.931191,102.812796
4.966509,11.459795,102.628313
0.272017,13.025528,101.921874
-4.411883,14.520469,101.013771
-9.163933,15.849167,100.212546
-14.030983,16.909652,99.822648
-18.973703,17.645963,99.915982
-23.944960,18.091652,100.201396
-28.937498,18.278034,100.368603
-33.924749,18.220939,100.078663
-38.793041,17.910691,99.010794
-43.469275,17.183034,97.407606
-47.994022,15.824412,95.785471
-52.335654,13.738035,94.464765
-56.329574,10.970668,93.308662
-59.768099,7.547766,92.131704
-62.428541,3.545005,90.780752
-64.426890,-0.753110,89.198632
-66.060763,-5.091002,87.327864
-67.639721,-9.260704,85.070471
-69.497832,-12.976877,82.303271
-71.957167,-15.763051,78.986102
-74.952508,-17.337302,75.320093
-78.065153,-18.027628,71.474144
-81.033142,-18.154439,67.455364
-83.650537,-17.941112,63.203988
-85.644479,-17.573842,58.640667
-86.564142,-17.274521,53.752074
-86.027490,-17.239317,48.798830
-84.235449,-17.442753,44.148254
-81.493612,-17.801558,39.991637
-78.199854,-18.004041,36.238749
-74.792427,-17.683059,32.598539
-71.578838,-16.718669,28.896667
-68.772680,-15.140113,25.079587
-66.864730,-12.771950,21.141340
-67.310309,-9.399804,17.617627
-70.106252,-5.998986,15.299742
-73.680833,-3.016463,13.482773
-77.430069,-0.373597,11.498254
-81.149466,2.001119,9.150270
-84.768795,4.212609,6.504201
-88.233259,6.384893,3.627982
-91.491405,8.651822,0.588687
-94.484716,11.150302,-2.539015
-97.141117,14.007770,-5.661814
-99.434792,17.290594,-8.651053
-101.485856,20.970934,-11.338172
-103.430423,25.015712,-13.533238
-105.392690,29.364080,-15.008258
-107.468037,33.873362,-15.519815
-109.678681,38.317974,-14.983676
-111.940522,42.640514,-13.891057
-114.205556,46.966724,-12.820720
-116.422604,51.415115,-12.353601
-118.411125,55.891549,-13.221111
-118.999356,57.397929,-13.956295
