x,y,z
-76.762110,-19.921895,-61.768605
-79.503987,-21.150825,-65.733458
-80.385338,-22.108012,-70.512364
-78.953550,-22.578779,-75.231784
-75.712080,-22.553389,-78.996924
-71.361630,-22.132662,-81.369939
-66.497009,-21.429525,-82.205396
-61.580428,-20.674548,-82.680983
-57.016992,-20.120932,-84.552965
-53.206624,-19.435479,-87.702368
-49.810548,-17.716280,-90.909035
-46.745746,-14.587844,-93.282587
-43.994033,-10.718202,-94.829558
-41.338562,-6.599448,-95.812875
-38.533095,-2.511191,-96.446332
-35.315437,1.284069,-96.891250
-31.477123,4.454171,-97.281212
-27.388048,7.311318,-97.617608
-23.636454,10.599786,-97.841679
-20.217846,14.247262,-97.913360
-16.583199,17.671973,-97.798147
-12.426009,20.423862,-97.506969
-7.917806,22.556287,-97.191254
-3.223083,24.263362,-97.014065
1.548932,25.746914,-97.131291
6.295971,27.199463,-97.706089
10.942768,28.691070,-98.786172
15.539573,30.075339,-100.181328
20.179781,31.183330,-101.674267
24.944109,31.831990,-103.033292
29.835445,31.902693,-104.050351
34.779001,31.582288,-104.716613
39.743490,31.120910,-105.083419
44.727715,30.751426,-105.196099
49.724559,30.698822,-105.089362
54.707160,30.924656,-104.749471
59.661874,31.063609,-104.105689
64.538087,30.710408,-103.085029
69.166640,29.502289,-101.665222
73.389558,27.394920,-100.035487
77.185944,24.525622,-98.523163
80.484063,20.932957,-97.470379
83.042452,16.670459,-97.072600
84.482377,11.899149,-97.028649
84.572734,6.914265,-96.956813
83.572871,2.034480,-96.632119
81.816276,-2.581190,-95.890912
79.561554,-6.839732,-94.579577
77.049348,-10.658200,-92.567603
74.657117,-14.129595,-89.888293
72.857950,-17.438548,-86.613638
72.256931,-20.687395,-82.887286
73.077200,-23.730621,-79.023626
74.936096,-26.348558,-75.201727
77.535458,-28.411002,-71.469705
80.638070,-29.927149,-67.858564
84.025058,-31.002309,-64.343336
87.523814,-31.759990,-60.853511
90.993923,-32.317778,-57.297734
94.318809,-32.752784,-53.589768
97.418284,-33.055354,-49.679542
100.204467,-33.200878,-45.532555
102.579014,-33.166004,-41.135476
104.444708,-32.933537,-36.505941
105.750111,-32.543869,-31.697789
106.638280,-32.433538,-26.782571
107.285667,-33.196827,-21.892660
107.649131,-34.401269,-17.055217
107.561668,-34.871802,-12.090693
107.326856,-34.863334,-7.097406
107.532663,-35.694745,-2.186216
107.917203,-37.272823,2.541145
107.684438,-38.755915,7.298261
106.292738,-39.616418,12.007392
103.893353,-39.956923,16.370458
100.783844,-40.035049,20.279189
97.197314,-40.105621,23.758337
93.284069,-40.308893,26.861203
89.139689,-40.553763,29.645840
84.833704,-40.719185,32.180433
80.423084,-40.685009,34.533566
75.966683,-40.325596,36.769167
71.538158,-39.540737,38.950470
67.192394,-38.515553,41.199925
62.954245,-37.574196,43.677732
58.897186,-36.646238,46.445807
55.189370,-35.161479,49.440013
52.020521,-32.813240,52.500314
49.373045,-29.791435,55.468911
47.137508,-26.299688,58.258867
45.189081,-22.480919,60.828986
43.412182,-18.428405,63.154885
41.701006,-14.204726,65.210060
39.864072,-9.912867,66.996544
37.410916,-5.876174,68.606608
33.815228,-2.762709,70.052320
29.167931,-1.280160,70.935746
24.212127,-1.682859,70.811735
19.357104,-2.734447,70.247121
14.397436,-2.928449,70.036498
9.791157,-1.186298,70.740688
5.512366,1.218769,71.691028
0.952288,3.160323,72.288960
-3.907075,4.282930,72.521231
-8.894061,4.509781,72.605155
-13.832361,3.802015,72.785333
-18.530068,2.182258,73.266194
-22.894408,-0.164369,73.902531
-26.950202,-3.039464,74.407086
-30.736724,-6.297295,74.505999
-34.254202,-9.789017,73.902078
-37.437476,-13.348231,72.438032
-40.250426,-17.009099,70.522683
-42.725835,-20.923187,68.644231
-44.927806,-25.094656,66.987637
-47.008091,-29.255709,65.159713
-49.105242,-33.083356,62.732932
-51.235845,-36.385224,59.650437
-53.373727,-39.089121,56.035654
-55.498744,-41.136745,52.005553
-57.592829,-42.472316,47.671959
-59.635812,-43.039489,43.149831
-61.699685,-42.851729,38.604056
-64.619612,-42.403395,34.607097
-69.016629,-42.333061,32.301523
-73.849349,-42.292873,31.027300
-78.654964,-41.860450,29.729042
-83.177792,-40.769448,27.931441
-86.518180,-38.498661,25.117593
-86.863954,-35.083262,21.575438
-85.513134,-31.398471,18.494421
-83.642255,-27.435224,16.098206
-81.478503,-23.408236,14.075737
-78.991945,-19.751527,11.757479
-76.355944,-16.775498,8.736033
-74.118882,-14.122986,5.145456
-73.160054,-11.320886,1.159049
-74.365956,-8.230757,-2.533431
-76.938552,-5.028636,-5.361001
-80.025394,-1.608204,-7.282334
-83.199616,2.080141,-8.415715
-86.348648,5.899786,-9.114146
-89.444939,9.776144,-9.735406
-92.475885,13.681290,-10.483817
-95.425610,17.599235,-11.454426
-98.271610,21.503277,-12.737772
-100.984857,25.353360,-14.410490
-103.540327,29.102093,-16.508229
-106.093792,32.784639,-18.724625
-108.996595,36.497673,-20.360169
-112.443524,40.079094,-20.529502
-116.173562,43.252457,-19.546598
-120.101384,46.102530,-18.348197
-124.272590,48.739502,-17.560959
-128.612149,51.189434,-17.166581
-133.037990,53.504492,-16.940575
-137.491336,55.758582,-16.650565
-140.021696,57.043619,-16.375385
