x,y,z
-99.869263,20.201715,56.179247
-96.075852,19.797257,59.400549
-91.928394,19.987855,62.178812
-87.570155,20.576190,64.553606
-83.086079,21.352757,66.623228
-78.516849,22.120010,68.502201
-73.887966,22.679719,70.305469
-69.243372,22.811417,72.145165
-64.664598,22.337544,74.088489
-60.215203,21.273251,76.098987
-55.930901,19.689927,78.127823
-51.819346,17.682063,80.140492
-47.839911,15.415801,82.146702
-43.925053,13.062135,84.179889
-40.002098,10.781927,86.279441
-36.021012,8.718819,88.490292
-32.026175,6.879114,90.867302
-28.088737,5.215484,93.459927
-24.267499,3.670099,96.289110
-20.481290,2.165981,99.187598
-16.543966,0.616285,101.847750
-12.304913,-1.050141,103.892863
-7.771730,-2.820222,105.009862
-3.101428,-4.553514,105.405023
1.640579,-6.135848,105.393394
6.450948,-7.489743,105.243523
11.302102,-8.688942,105.077321
16.154876,-9.886509,104.952326
21.003071,-11.099905,104.810338
25.882177,-12.087823,104.375494
30.738245,-12.524920,103.313772
35.355788,-12.249063,101.437452
39.637042,-11.654583,98.930621
43.629782,-11.176961,95.963701
47.381147,-11.201691,92.664834
50.886393,-11.728820,89.141048
54.166578,-12.443546,85.436542
57.266701,-13.029074,81.559106
60.216601,-13.154712,77.528261
63.034764,-12.579021,73.444872
65.728458,-11.148716,69.492566
68.270642,-8.772983,65.915768
70.599992,-5.517483,62.934800
72.583935,-1.600738,60.557189
74.042339,2.823857,58.764424
74.696301,7.637249,57.638856
74.208070,12.584046,57.272789
72.640747,17.322801,57.311279
70.245212,21.703115,57.226449
67.260013,25.653191,56.583813
63.902864,29.131183,55.326723
60.341430,32.136201,53.525663
56.704754,34.673191,51.223541
53.106298,36.732623,48.436163
49.667717,38.281159,45.160587
46.542476,39.256768,41.390251
43.937134,39.571880,37.145221
42.052773,39.240693,32.533881
40.885730,38.635186,27.714056
40.348955,38.180789,22.767845
40.375129,38.191462,17.772340
40.953269,38.584943,12.824899
42.103097,39.182501,7.999088
43.858341,39.821821,3.364927
46.176542,40.423154,-1.020930
48.963001,40.947048,-5.136698
52.121869,41.359202,-8.988450
55.566816,41.629742,-12.600623
59.224670,41.730910,-16.006699
63.033541,41.634534,-19.243405
66.939546,41.311908,-22.347078
70.908202,40.775717,-25.340102
74.924600,40.081280,-28.235632
78.979367,39.286012,-31.050848
83.066761,38.446636,-33.805544
87.182990,37.619367,-36.520687
91.324460,36.860542,-39.217273
95.485923,36.227241,-41.915259
99.673319,35.739497,-44.603456
103.937999,35.294582,-47.174593
108.333560,34.764288,-49.495223
112.878284,34.026887,-51.440021
117.470700,33.008579,-53.132305
121.960895,31.658478,-54.864037
126.202136,29.938293,-56.870844
130.171765,27.878050,-59.102828
133.919581,25.522287,-61.425472
137.509411,22.904400,-63.717333
141.008037,20.049286,-65.862042
144.478866,16.979931,-67.738130
147.975774,13.727379,-69.211697
151.533630,10.343593,-70.138253
155.146265,6.903429,-70.434199
158.732302,3.419623,-70.396929
162.217184,-0.163292,-70.470635
165.487739,-3.879257,-71.124869
168.319914,-7.644576,-72.764932
170.545433,-11.409753,-75.175528
172.098817,-15.266185,-77.944644
172.880804,-19.340699,-80.723097
