env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260110_232907,0.03858012333512306,0.06766410917043686,-0.024596741423010826,0.03789680823683739,-0.005748462863266468,0.10415694117546082,-0.049497004598379135,0.09759523719549179,-0.06399284303188324,0.04196484759449959,-0.05160369351506233,0.007622788660228252,-0.013309984467923641,-0.008555767126381397,-0.0029633170925080776,5.0389275550842285,-2.078430652618408,-0.5809175968170166,-0.5248633027076721,-0.4703635275363922,-0.29381880164146423,0.6457143425941467,0.0,0.0,0.0,0.0,0.0,0.0
1,20260110_232907,0.03638927638530731,0.09954304993152618,-0.014483662322163582,0.03913523629307747,-0.03260873630642891,0.07544168084859848,-0.04265700653195381,0.09588161110877991,-0.08401463180780411,0.025852365419268608,-0.046389877796173096,-0.006429985631257296,-0.01924954168498516,-0.010531634092330933,-0.00882636196911335,5.038930892944336,2.9216208457946777,-0.5809182524681091,-0.5248631834983826,-0.47036147117614746,-0.2938186228275299,0.6457160115242004,0.0,0.0,0.0,0.0,0.0,0.0
2,20260110_232907,0.03412366658449173,0.07097116112709045,-0.014992681331932545,0.037271156907081604,-0.012756195850670338,0.09258930385112762,-0.05724886804819107,0.09765585511922836,-0.08595311641693115,0.0407651849091053,-0.04976930841803551,0.0115094855427742,-0.01797112450003624,-0.00994158536195755,-0.0079487394541502,0.038958292454481125,-2.0784342288970947,-0.5809201002120972,-0.524863064289093,-0.4703640043735504,-0.2938173711299896,0.6457148790359497,0.0,0.0,0.0,0.0,0.0,0.0
3,20260110_232907,0.021570883691310883,0.08045300096273422,-0.0033920607529580593,0.03362943232059479,-0.007137591950595379,0.06625061482191086,-0.0251869335770607,0.07487449795007706,-0.045391496270895004,0.026866456493735313,-0.02944299578666687,-0.004028904251754284,-0.015011130832135677,-0.012583011761307716,-0.0037504304200410843,0.03896039351820946,2.9216227531433105,-0.5809182524681091,-0.5248627662658691,-0.4703623354434967,-0.2938176095485687,0.6457161903381348,0.0,0.0,0.0,0.0,0.0,0.0
4,20260110_232907,0.04224667698144913,0.07319106161594391,-0.012574547901749611,0.03473759815096855,-0.006695783697068691,0.07939236611127853,-0.04747552424669266,0.09751876443624496,-0.07544011622667313,0.04019687697291374,-0.0707414299249649,0.02886796183884144,-0.03883613646030426,0.0010264987358823419,-0.0032848261762410402,-4.961048603057861,-2.0784249305725098,-0.5809182524681091,-0.5248632431030273,-0.47036147117614746,-0.29381853342056274,0.6457160115242004,0.0,0.0,0.0,0.0,0.0,0.0
