env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260225_154233,-0.1631636917591095,-0.09337398409843445,-0.10559003055095673,-0.15959356725215912,-0.1511320024728775,-0.25591063499450684,-0.1962236613035202,-0.2394801825284958,-0.10184654593467712,-0.10941338539123535,-0.06997024267911911,0.04607509449124336,0.046153996139764786,0.15021970868110657,-0.19184303283691406,5.545886516571045,-1.7514997720718384,-1.283390760421753,0.06873830407857895,0.0026649804785847664,0.3580454885959625,0.9311665892601013,0.0,0.0,0.0,0.0,0.0,0.0
1,20260225_154233,-0.1123887449502945,-0.08456061780452728,-0.07916677743196487,-0.14030137658119202,-0.13970176875591278,-0.20270366966724396,-0.18503713607788086,-0.17085948586463928,-0.09819795191287994,-0.04897155985236168,-0.09036298096179962,-0.005023366771638393,0.02401098608970642,0.12688666582107544,-0.22819992899894714,5.545886516571045,3.248500108718872,-1.283390760421753,0.06873872131109238,0.002664982806891203,0.3580460846424103,0.9311662912368774,0.0,0.0,0.0,0.0,0.0,0.0
2,20260225_154233,-0.09735217690467834,-0.0938524678349495,-0.15517909824848175,-0.13625530898571014,-0.17938025295734406,-0.20916908979415894,-0.21320199966430664,-0.16400399804115295,-0.13646966218948364,-0.0784713476896286,-0.09429626911878586,0.0006727295112796128,0.03963226452469826,0.13952212035655975,-0.22942432761192322,0.5458642244338989,-1.7514997720718384,-1.283390760421753,0.06873877346515656,0.0026649695355445147,0.35804611444473267,0.9311662912368774,0.0,0.0,0.0,0.0,0.0,0.0
3,20260225_154233,-0.10288053750991821,-0.05194355174899101,-0.11722499877214432,-0.12128369510173798,-0.15892601013183594,-0.21543057262897491,-0.20907773077487946,-0.18736238777637482,-0.14255687594413757,-0.05983862280845642,-0.1323416829109192,0.005188826005905867,0.010043519549071789,0.10945907235145569,-0.2660291790962219,0.5458640456199646,3.248500108718872,-1.283390760421753,0.06873861700296402,0.002664846833795309,0.358045756816864,0.9311665296554565,0.0,0.0,0.0,0.0,0.0,0.0
4,20260225_154233,-0.1726687103509903,-0.10377812385559082,-0.06662087142467499,-0.1198980063199997,-0.06822025030851364,-0.19332186877727509,-0.1228853315114975,-0.20483575761318207,-0.09938958287239075,-0.11439138650894165,-0.06609732657670975,0.0027498751878738403,0.05846375226974487,0.12978211045265198,-0.2277309149503708,-4.454124927520752,-1.7514997720718384,-1.283390760421753,0.06873830407857895,0.002665040548890829,0.3580455780029297,0.9311665296554565,0.0,0.0,0.0,0.0,0.0,0.0
