env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,joint_15_pos,joint_16_pos,joint_17_pos,joint_18_pos,joint_19_pos,joint_20_pos,joint_21_pos,joint_22_pos,joint_23_pos,joint_24_pos,joint_25_pos,joint_26_pos,joint_27_pos,joint_28_pos,joint_29_pos,joint_30_pos,joint_31_pos,joint_32_pos,joint_33_pos,joint_34_pos,joint_35_pos,joint_36_pos,joint_37_pos,joint_38_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20251215_134107,1.609044375072699e-06,-7.106323351990795e-08,1.8854794916478568e-06,-9.872648831787956e-08,2.3246577711688587e-06,-1.1313694159298393e-07,2.48380592893227e-06,-1.1677129663212327e-07,2.5080648811126594e-06,-1.1488310747154173e-07,2.292443241458386e-06,-9.83715864322221e-08,1.8813540236806148e-06,-7.71326611470613e-08,1.36518474391778e-06,-5.260470103962689e-08,7.975684184202692e-07,-2.2461781767901812e-08,9.650378274272953e-08,1.0213946133319496e-08,-5.398780444920703e-07,3.775991785914812e-08,-1.1198808351764455e-06,6.419032416715709e-08,-1.6981877024591086e-06,9.043210269510382e-08,-2.172912445530528e-06,1.0682773421422098e-07,-2.4166265575331636e-06,1.1668091559613458e-07,-2.565738668636186e-06,1.174888382138306e-07,-2.4022981506277574e-06,1.013334980370928e-07,-1.9929007066821214e-06,8.766110681790451e-08,-1.5937033595037065e-06,2.385870878640617e-08,-3.133086181605904e-07,7.388462066650391,0.46947622299194336,0.6441846489906311,-0.19514252245426178,0.6879151463508606,-0.198361337184906,0.6703319549560547,0.0,0.0,0.0,0.0,0.0,0.0
1,20251215_134107,1.6091271390905604e-06,-7.142067914855943e-08,1.8842511053662747e-06,-9.789673072191363e-08,2.3222537492983975e-06,-1.1348023321033907e-07,2.485902996340883e-06,-1.1638218921916632e-07,2.5148383429041132e-06,-1.1628865337343086e-07,2.2910382995178225e-06,-9.829494729274302e-08,1.8828926613423391e-06,-7.61064882226492e-08,1.3607671007775934e-06,-5.2733103217406097e-08,7.968559998516866e-07,-2.252638431343712e-08,9.922842281184785e-08,1.0516369108870549e-08,-5.44572515082109e-07,3.7951405573721786e-08,-1.1185061339347158e-06,6.45174296209916e-08,-1.6983209434329183e-06,9.006085832652388e-08,-2.1703608581447043e-06,1.0682099826908598e-07,-2.4180653781513683e-06,1.1631201601858265e-07,-2.565580189184402e-06,1.176885504605707e-07,-2.404018914603512e-06,1.0222085222721944e-07,-1.9893457192665664e-06,8.721759314767041e-08,-1.5976286249497207e-06,2.4640492313210416e-08,-3.062322662117367e-07,7.388462066650391,5.469411373138428,0.6441728472709656,-0.19514252245426178,0.6879151463508606,-0.198361337184906,0.6703319549560547,0.0,0.0,0.0,0.0,0.0,0.0
2,20251215_134107,1.6041032040448044e-06,-7.110531896614702e-08,1.8903485852206359e-06,-9.867995487411463e-08,2.3243744635692565e-06,-1.1246328313063714e-07,2.483815706000314e-06,-1.180929487532012e-07,2.5070557967410423e-06,-1.1486984874409245e-07,2.2916067337064305e-06,-9.967241965114226e-08,1.8823252503352705e-06,-7.71870247717743e-08,1.3659301885127206e-06,-5.299571981254303e-08,7.940970476738585e-07,-2.2526762677443912e-08,9.669390976796421e-08,1.0197724442662093e-08,-5.394986715145933e-07,3.676449367162604e-08,-1.1188974440301536e-06,6.413948483441345e-08,-1.699669155641459e-06,9.043915127904256e-08,-2.1733203539042734e-06,1.0670623851183336e-07,-2.4158646283467533e-06,1.1639274788421972e-07,-2.563687303336337e-06,1.1720500481260387e-07,-2.4016057977860328e-06,1.0230894531559898e-07,-1.9964397779403953e-06,8.736574841350375e-08,-1.5966445516824024e-06,2.4180909719007104e-08,-3.0923695248930017e-07,2.3884425163269043,0.4694750905036926,0.6441813111305237,-0.19514253735542297,0.6879151463508606,-0.1983613818883896,0.6703318953514099,0.0,0.0,0.0,0.0,0.0,0.0
3,20251215_134107,1.6037147361203097e-06,-7.040841865091352e-08,1.8891987565439194e-06,-9.896474750803463e-08,2.3224333745019976e-06,-1.1341691674715548e-07,2.485289542164537e-06,-1.1712266001495664e-07,2.515678943382227e-06,-1.1568174329568137e-07,2.293113539053593e-06,-9.876482209847381e-08,1.8783995301419054e-06,-7.7017311639338e-08,1.3631088222609833e-06,-5.2682935347547755e-08,7.97265442997741e-07,-2.3225750211963714e-08,9.902002773287677e-08,1.1026371815603397e-08,-5.407327989814803e-07,3.731117104166515e-08,-1.1218661484235781e-06,6.356613369007391e-08,-1.6980793589027599e-06,9.051156979467123e-08,-2.168874061680981e-06,1.0660012605967495e-07,-2.42066698774579e-06,1.1628944207586756e-07,-2.5653721422713716e-06,1.1730578108881673e-07,-2.403175130893942e-06,1.0146551687739702e-07,-1.990386863326421e-06,8.747952051635366e-08,-1.6012413652788382e-06,2.463485060388848e-08,-3.0358046387846116e-07,2.3884472846984863,5.469394207000732,0.6441870331764221,-0.19514250755310059,0.6879151463508606,-0.19836129248142242,0.6703318953514099,0.0,0.0,0.0,0.0,0.0,0.0
4,20251215_134107,1.6040436321418383e-06,-7.165814963627781e-08,1.8909113350673579e-06,-9.85102133199689e-08,2.323274429727462e-06,-1.1248103959360378e-07,2.48358537646709e-06,-1.176290567173055e-07,2.5069618914130842e-06,-1.151626776163539e-07,2.293300440214807e-06,-1.006799337233133e-07,1.880313789115462e-06,-7.524649703327668e-08,1.3650677601617645e-06,-5.3540532007900765e-08,7.96890958554286e-07,-2.2964631085642395e-08,9.73845786234051e-08,1.0340258427277149e-08,-5.405389060797461e-07,3.696694150789881e-08,-1.1210144066353678e-06,6.399209695473473e-08,-1.6987821709335549e-06,9.044556037451912e-08,-2.1717528397857677e-06,1.069217958615809e-07,-2.4168564323190367e-06,1.1571620461836574e-07,-2.565824388511828e-06,1.1794471532766693e-07,-2.4023761397984345e-06,1.0202358424749036e-07,-1.9917135887226323e-06,8.691139896654931e-08,-1.5986161088221706e-06,2.416945577010665e-08,-3.0842130627206643e-07,-2.611553192138672,0.469476580619812,0.6441839337348938,-0.19514256715774536,0.6879150867462158,-0.198361337184906,0.6703318953514099,0.0,0.0,0.0,0.0,0.0,0.0
