env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,joint_15_pos,joint_16_pos,joint_17_pos,joint_18_pos,joint_19_pos,joint_20_pos,joint_21_pos,joint_22_pos,joint_23_pos,joint_24_pos,joint_25_pos,joint_26_pos,joint_27_pos,joint_28_pos,joint_29_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260107_112220,-2.4910448246373562e-06,-2.015565951296594e-05,4.573364549287362e-06,-5.807622073916718e-06,7.564971838291967e-06,7.175411610660376e-06,6.8667400228150655e-06,3.494903921819059e-06,3.1645122362533584e-06,5.218520072958199e-06,-7.721415386185981e-06,1.6393130408687284e-08,4.118775905226357e-06,5.201219209993724e-06,-1.5934585462673567e-05,6.7004589254793245e-06,-1.2426766261341982e-05,-2.4583493996033212e-06,1.4712106349179521e-05,-8.402436151300208e-07,-3.0449446057900786e-06,-2.0801671496428753e-07,2.81675693258876e-06,1.206595129588095e-06,-1.2786897059413604e-05,-5.0309181460761465e-06,8.658083970658481e-06,1.4221922128854203e-06,2.594500529085053e-06,-2.6551365408522543e-06,5.621325969696045,-1.3624025583267212,-1.9483489990234375,0.0,0.7071067094802856,0.0,0.7071067094802856,0.0,0.0,0.0,0.0,0.0,0.0
1,20260107_112220,1.1500230357341934e-05,-2.542501169955358e-05,-1.858389441622421e-05,-4.9775994739320595e-06,2.0673624021583237e-06,5.400278496381361e-06,-1.5265639376593754e-05,3.741512500710087e-06,-2.358577330596745e-05,3.0114515539025888e-06,-6.577139629371231e-06,8.64051889948314e-06,-2.1409805412986316e-06,-6.460214990511304e-06,-1.1613442438829225e-05,-3.460072321104235e-06,2.345735083508771e-05,3.5234586448495975e-06,-2.151782894088683e-07,-1.9114688257104717e-05,-9.040670192916878e-06,-6.876677616673987e-06,1.314431074206368e-06,-3.5710615975403925e-06,-4.789559170603752e-06,5.3118510550120845e-06,-1.4186364751367364e-05,-8.256739420176018e-06,-7.468756393791409e-06,4.065039320266806e-06,5.621325969696045,3.6376123428344727,-1.9483489990234375,0.0,0.7071067094802856,0.0,0.7071067094802856,0.0,0.0,0.0,0.0,0.0,0.0
2,20260107_112220,-2.5723416001710575e-06,2.33971204579575e-05,8.56448332342552e-06,-2.2751697770218016e-07,-4.685410033289372e-07,-4.892624929198064e-06,1.480766854911053e-06,-4.738852567243157e-06,-1.137400658990373e-06,-5.093153504276415e-06,9.118545563069347e-07,1.2676174492298742e-06,4.013646048406372e-06,1.8777387822410674e-06,-1.0662183740350883e-06,-2.906519398493401e-07,2.0883703655272257e-06,2.8562724310177146e-06,7.254357115016319e-08,-5.056366489952779e-07,6.546626423187263e-07,-3.2325490337825613e-06,-7.964284236550156e-07,3.156333832521341e-06,-1.6273073697448126e-06,7.56595568418561e-07,-2.0437764192138275e-07,6.636596936004935e-06,-2.2972967599343974e-06,4.821314405489829e-07,0.6213335394859314,-1.3624025583267212,-1.9483489990234375,0.0,0.7071067094802856,0.0,0.7071067094802856,0.0,0.0,0.0,0.0,0.0,0.0
3,20260107_112220,-3.1647752507524274e-07,-7.61216288083233e-05,5.463353431878204e-07,1.0029878467321396e-05,2.3307346452838829e-07,-8.17106592876371e-06,5.291997808853921e-07,-6.526170636789175e-06,1.6612750641797902e-06,1.173212808680546e-06,-8.020558652788168e-07,-8.489124411426019e-06,4.747664092974446e-07,9.42385941016255e-06,-1.1928162280128163e-07,1.4394818208529614e-06,-2.085693267872557e-06,1.177018134512764e-06,1.6095984847197542e-06,3.847181915261899e-07,-3.095780698458839e-07,-6.634526471316349e-06,-3.0470848741970258e-06,-2.711238494157442e-06,1.4415683153856662e-06,-6.676600605715066e-07,-3.354666205268586e-06,-1.270063307856617e-06,2.3329462806032097e-08,1.1916716175619513e-05,0.6213335394859314,3.6376123428344727,-1.9483489990234375,0.0,0.7071067094802856,0.0,0.7071067094802856,0.0,0.0,0.0,0.0,0.0,0.0
4,20260107_112220,-1.29399713841849e-05,1.4352803191286512e-05,4.803068804903887e-05,4.5495517042581923e-07,9.017107345243858e-07,1.965283615845692e-07,-1.794658260223514e-06,-1.0865212516364409e-06,7.0478081397595815e-06,2.0089544250367908e-06,2.262958957999217e-07,-3.9424048736691475e-06,-1.5125439176699729e-06,-7.263457177941746e-07,2.4344040866708383e-05,9.412688655174861e-07,-1.792715374904219e-05,-2.692360112632741e-07,9.925633094098885e-06,1.2809282452508342e-06,-1.9742603399208747e-05,3.8072637380537344e-06,-2.371859636696172e-06,6.43086366380885e-08,-1.0512174412724562e-05,1.6108409681692137e-06,6.908301202201983e-06,-1.5672444533265661e-06,-8.763936421019025e-06,4.457293925952399e-06,-4.3786702156066895,-1.3624025583267212,-1.9483489990234375,0.0,0.7071067094802856,0.0,0.7071067094802856,0.0,0.0,0.0,0.0,0.0,0.0
