env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260226_145611,0.156486377120018,0.09713508188724518,-0.11802934855222702,-0.20242995023727417,-0.05667952075600624,-0.41816243529319763,-0.049884941428899765,-0.39999285340309143,0.017352405935525894,-0.32005372643470764,-0.11071500927209854,-0.16764363646507263,0.06508269160985947,-0.004502243362367153,-0.0076612974517047405,4.587137699127197,-2.0832297801971436,-0.5820120573043823,0.1720794439315796,0.7569677829742432,0.4339331388473511,0.4572639465332031,0.0,0.0,0.0,0.0,0.0,0.0
1,20260226_145611,0.15418636798858643,-0.04981314763426781,-0.11541345715522766,-0.10697375982999802,-0.0708102136850357,-0.36774060130119324,-0.035734303295612335,-0.34407874941825867,0.008236187510192394,-0.3556276857852936,-0.08052726835012436,-0.19656966626644135,0.07221496105194092,-0.06388065218925476,-0.02046974189579487,4.587137699127197,2.9167630672454834,-0.5820133090019226,0.1720784455537796,0.7569677829742432,0.4339328706264496,0.45726457238197327,0.0,0.0,0.0,0.0,0.0,0.0
2,20260226_145611,0.15196743607521057,-0.15849117934703827,-0.03864751383662224,-0.026377754285931587,-0.08842155337333679,-0.25728699564933777,-0.051734425127506256,-0.31728893518447876,-0.026798278093338013,-0.3932707905769348,-0.0849234014749527,-0.2433815747499466,0.03415757790207863,-0.13157141208648682,-0.023304259404540062,-0.41277024149894714,-2.0832393169403076,-0.5820109844207764,0.17207933962345123,0.7569682598114014,0.4339323043823242,0.4572640657424927,0.0,0.0,0.0,0.0,0.0,0.0
3,20260226_145611,0.14200587570667267,-0.16820988059043884,-0.06237057223916054,-0.06080198660492897,-0.06285133957862854,-0.25214332342147827,0.028744803741574287,-0.3442872166633606,-0.03510970249772072,-0.35617294907569885,-0.0704108476638794,-0.2206178903579712,0.05289836972951889,-0.10630999505519867,-0.04302479326725006,-0.41277024149894714,2.916764736175537,-0.5820131301879883,0.17207811772823334,0.7569681406021118,0.43393203616142273,0.457265168428421,0.0,0.0,0.0,0.0,0.0,0.0
4,20260226_145611,0.1437397301197052,-0.1271323263645172,-0.017473459243774414,-0.08881291002035141,-0.03942278027534485,-0.23835992813110352,0.002366314409300685,-0.31149014830589294,-0.06143585965037346,-0.35573622584342957,-0.07535006105899811,-0.3058926463127136,-0.048379410058259964,-0.17088183760643005,-0.08988474309444427,-5.412837982177734,-2.0832393169403076,-0.5820131301879883,0.1720784604549408,0.7569681406021118,0.4339318871498108,0.45726490020751953,0.0,0.0,0.0,0.0,0.0,0.0
