env_id,timestamp,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260109_203233,-0.021807696670293808,-0.0768597349524498,-0.01787261851131916,-0.08108846843242645,-0.026982933282852173,-0.11507906764745712,-0.026263849809765816,-0.08998370915651321,-0.01838398352265358,-0.05544111132621765,-0.010671228170394897,-0.037664495408535004,-0.0056588854640722275,-0.010435335338115692,-0.007037641480565071,5.630295276641846,-1.0604467391967773,-1.3826924562454224,-0.03474895656108856,0.6217287182807922,0.11263865232467651,0.7743115425109863,0.0,0.0,0.0,0.0,0.0,0.0
1,20260109_203233,-0.017705336213111877,-0.10048568993806839,-0.019057761877775192,-0.09855187684297562,-0.02500811591744423,-0.09252199530601501,-0.02326280064880848,-0.06361658871173859,-0.020488513633608818,-0.05298471078276634,-0.01266125962138176,-0.026973092928528786,-0.005047453101724386,-0.012490718625485897,-0.008580101653933525,5.630298137664795,3.9396088123321533,-1.3826924562454224,-0.034748416393995285,0.6217293739318848,0.11263860762119293,0.7743110656738281,0.0,0.0,0.0,0.0,0.0,0.0
2,20260109_203233,-0.027483554556965828,-0.12086737900972366,-0.025401312857866287,-0.08950209617614746,-0.02525559812784195,-0.07176882773637772,-0.022090721875429153,-0.07280495762825012,-0.02002859115600586,-0.052558302879333496,-0.008811984211206436,-0.02279091067612171,-0.006302584428340197,-0.017843833193182945,-0.004740232136100531,0.6303098201751709,-1.0604467391967773,-1.3826924562454224,-0.034748416393995285,0.6217293739318848,0.11263860762119293,0.7743110656738281,0.0,0.0,0.0,0.0,0.0,0.0
3,20260109_203233,-0.030665911734104156,-0.09886251389980316,-0.01918996497988701,-0.08629176765680313,-0.019045429304242134,-0.09021182358264923,-0.019370632246136665,-0.08903199434280396,-0.012640451081097126,-0.05384903401136398,-0.010050613433122635,-0.024249376729130745,-0.003641874762251973,-0.012667573988437653,-0.005848211236298084,0.6303104758262634,3.9396088123321533,-1.3826924562454224,-0.034748323261737823,0.6217293739318848,0.11263848841190338,0.7743110656738281,0.0,0.0,0.0,0.0,0.0,0.0
4,20260109_203233,-0.01951536349952221,-0.08670254051685333,-0.025438981130719185,-0.10209433734416962,-0.023192690685391426,-0.09404557198286057,-0.02850569784641266,-0.07491932064294815,-0.019352952018380165,-0.05708400160074234,-0.006452060304582119,-0.022906258702278137,-0.006361091509461403,-0.019088244065642357,-0.00603853166103363,-4.369697093963623,-1.0604467391967773,-1.3826924562454224,-0.03474895656108856,0.6217287182807922,0.11263865232467651,0.7743115425109863,0.0,0.0,0.0,0.0,0.0,0.0
