env_id,timestamp,joint_0_pos,joint_1_pos,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z
0,20260528_194711,0.0,0.0,5.720729827880859,-1.9796606302261353,-1.3912056684494019,0.5227382779121399,0.19354599714279175,0.14607161283493042,0.8172805905342102,0.0,0.0,0.0,0.0,0.0,0.0
1,20260528_194711,0.0,0.0,5.720729827880859,3.020416736602783,-1.3912056684494019,0.5227382779121399,0.19354599714279175,0.14607161283493042,0.8172805905342102,0.0,0.0,0.0,0.0,0.0,0.0
2,20260528_194711,0.0,0.0,0.7206708192825317,-1.9796606302261353,-1.3912056684494019,0.5227382779121399,0.19354599714279175,0.14607161283493042,0.8172805905342102,0.0,0.0,0.0,0.0,0.0,0.0
3,20260528_194711,0.017008967697620392,-0.014502715319395065,-73.8473129272461,91.64967346191406,-170.60079956054688,0.6753135919570923,-0.022161364555358887,-0.16419363021850586,0.7186797261238098,0.0,0.0,0.0,0.0,0.0,0.0
4,20260528_194711,2.186098449131857e-20,1.242548199093673e-17,-11.718977928161621,11.641510963439941,-19.364154815673828,0.4293903112411499,0.16883701086044312,0.13627135753631592,0.8766686916351318,0.0,0.0,0.0,0.0,0.0,0.0
